catalog_index,equipment_id,label_ko,system,equipment_type,command,source_execution_layer,source_status,model_input,feedback_tag,strict_class,transaction_status,native_dispatch_status,independent_feedback_status,evidence
73,IP-FWV,IP 급수조절밸브,HRSG,VALVE,MANUAL,THERMO_ADAPTER_REQUIRED,PROVISIONAL,IP_FWV_MODE,TSP.DRUM.IP.LIC_OUT,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:IP_FWV_MODE
74,LP-FWV,LP 급수조절밸브,HRSG,VALVE,OPEN,THERMO_ADAPTER_REQUIRED,PROVISIONAL,LP_FWV_OPENING,TSP.DRUM.LP.LIC_OUT,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:LP_FWV_OPENING
75,LP-FWV,LP 급수조절밸브,HRSG,VALVE,CLOSE,THERMO_ADAPTER_REQUIRED,PROVISIONAL,LP_FWV_OPENING,TSP.DRUM.LP.LIC_OUT,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:LP_FWV_OPENING
76,LP-FWV,LP 급수조절밸브,HRSG,VALVE,SET_OPENING,THERMO_ADAPTER_REQUIRED,PROVISIONAL,LP_FWV_OPENING,TSP.DRUM.LP.LIC_OUT,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:LP_FWV_OPENING
77,LP-FWV,LP 급수조절밸브,HRSG,VALVE,AUTO,THERMO_ADAPTER_REQUIRED,PROVISIONAL,LP_FWV_MODE,TSP.DRUM.LP.LIC_OUT,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:LP_FWV_MODE
78,LP-FWV,LP 급수조절밸브,HRSG,VALVE,MANUAL,THERMO_ADAPTER_REQUIRED,PROVISIONAL,LP_FWV_MODE,TSP.DRUM.LP.LIC_OUT,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:LP_FWV_MODE
79,HPCV,HP 터빈 제어밸브,ST,VALVE,OPEN,THERMO_ADAPTER_REQUIRED,PROVISIONAL,HPCV_OPENING,TSP.ST.HP.MASS_FLOW,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:HPCV_OPENING
80,HPCV,HP 터빈 제어밸브,ST,VALVE,CLOSE,THERMO_ADAPTER_REQUIRED,PROVISIONAL,HPCV_OPENING,TSP.ST.HP.MASS_FLOW,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:HPCV_OPENING
81,HPCV,HP 터빈 제어밸브,ST,VALVE,SET_OPENING,THERMO_ADAPTER_REQUIRED,PROVISIONAL,HPCV_OPENING,TSP.ST.HP.MASS_FLOW,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:HPCV_OPENING
82,IPCV,IP 터빈 제어밸브,ST,VALVE,OPEN,THERMO_ADAPTER_REQUIRED,PROVISIONAL,IPCV_OPENING,TSP.ST.IP.MASS_FLOW,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:IPCV_OPENING
83,IPCV,IP 터빈 제어밸브,ST,VALVE,CLOSE,THERMO_ADAPTER_REQUIRED,PROVISIONAL,IPCV_OPENING,TSP.ST.IP.MASS_FLOW,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:IPCV_OPENING
84,IPCV,IP 터빈 제어밸브,ST,VALVE,SET_OPENING,THERMO_ADAPTER_REQUIRED,PROVISIONAL,IPCV_OPENING,TSP.ST.IP.MASS_FLOW,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:IPCV_OPENING
85,LPCV,LP 터빈 제어밸브,ST,VALVE,OPEN,THERMO_ADAPTER_REQUIRED,PROVISIONAL,LPCV_OPENING,TSP.ST.LP.MASS_FLOW,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:LPCV_OPENING
86,LPCV,LP 터빈 제어밸브,ST,VALVE,CLOSE,THERMO_ADAPTER_REQUIRED,PROVISIONAL,LPCV_OPENING,TSP.ST.LP.MASS_FLOW,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:LPCV_OPENING
87,LPCV,LP 터빈 제어밸브,ST,VALVE,SET_OPENING,THERMO_ADAPTER_REQUIRED,PROVISIONAL,LPCV_OPENING,TSP.ST.LP.MASS_FLOW,THERMO_ADAPTER_REQUIRED,NOT_PHYSICALLY_CONNECTED,REQUIRED,NOT_VERIFIED,config/ecms_command_catalog.csv;required_model_input:LPCV_OPENING
