index,prior_tag_id,category,prior_scope,prior_description,unit,prior_verification,exclusion_reason
89,vppLPDrumInventoryFaultInjector.C1.h,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,LP Drum 재고량 고장 주입기 입구 포트 비엔탈피,J/kg,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
90,vppLPDrumInventoryFaultInjector.C1.h_vol,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,LP Drum 재고량 고장 주입기 입구 포트 체적측 비엔탈피 상태,J/kg,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
91,vppLPDrumInventoryFaultInjector.C2.P,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,LP Drum 재고량 고장 주입기 출구 포트 압력,Pa,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
92,vppLPDrumInventoryFaultInjector.C2.Q,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,LP Drum 재고량 고장 주입기 출구 포트 질량유량,kg/s,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
93,vppLPDrumInventoryFaultInjector.C2.a,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,vppLPDrumInventoryFaultInjector 커넥터 방향 검증용 Boolean 의사변수 a,BOOL,SOURCE_CONFIRMED,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
94,vppLPDrumInventoryFaultInjector.C2.b,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,vppLPDrumInventoryFaultInjector 커넥터 방향 검증용 Boolean 의사변수 b,BOOL,SOURCE_CONFIRMED,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
95,vppLPDrumInventoryFaultInjector.C2.h,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,LP Drum 재고량 고장 주입기 출구 포트 비엔탈피,J/kg,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
96,vppLPDrumInventoryFaultInjector.C2.h_vol,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,LP Drum 재고량 고장 주입기 출구 포트 체적측 비엔탈피 상태,J/kg,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
97,vppLPDrumInventoryFaultSource.C.P,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,LP Drum 재고량 고장 유량원 포트 압력,Pa,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
98,vppLPDrumInventoryFaultSource.C.Q,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,LP Drum 재고량 고장 유량원 포트 질량유량,kg/s,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
99,vppLPDrumInventoryFaultSource.C.a,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,vppLPDrumInventoryFaultSource 커넥터 방향 검증용 Boolean 의사변수 a,BOOL,SOURCE_CONFIRMED,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
100,vppLPDrumInventoryFaultSource.C.b,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,vppLPDrumInventoryFaultSource 커넥터 방향 검증용 Boolean 의사변수 b,BOOL,SOURCE_CONFIRMED,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
101,vppLPDrumInventoryFaultSource.C.h,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,LP Drum 재고량 고장 유량원 포트 비엔탈피,J/kg,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
102,vppLPDrumInventoryFaultSource.C.h_vol,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,LP Drum 재고량 고장 유량원 포트 체적측 비엔탈피 상태,J/kg,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
103,vppLPDrumInventoryFaultSource.IMassFlow.signal,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,LP Drum 재고량 고장 유량원 질량유량 명령 입력,kg/s,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
104,vppLPDrumInventoryFaultSource.ISpecificEnthalpy.signal,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,LP Drum 재고량 고장 유량원 비엔탈피 명령 입력,J/kg,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
105,vppLPDrumInventoryFaultSource.P,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,LP Drum 재고량 고장 유량원 압력,Pa,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
106,vppLPDrumInventoryFaultSource.Q,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,LP Drum 재고량 고장 유량원 질량유량,kg/s,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
107,vppLPDrumInventoryFaultSource.h,DRUM_INVENTORY_FAULT_LEGACY,RAW_INTERNAL_EVIDENCE,LP Drum 재고량 고장 유량원 비엔탈피,J/kg,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
108,vppLPFWPCheckValve.reverseFlowBlock,CHECK_VALVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,LP FWP 토출 체크밸브 역류 차단 상태,BOOL,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
109,vppLPFWPDrive.pumpPowerFiltered,FWP_DRIVE_INTERNAL_LEGACY,RAW_INTERNAL_EVIDENCE,LP FWP 관성 펌프 구동부 필터링 펌프 동력,W,SOURCE_CONFIRMED_STRUCTURAL,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
110,vppVlvHPFWCVFaultStroke,VALVE_FAULT_STROKE_LEGACY,RAW_INTERNAL_EVIDENCE,HP 급수제어밸브 고장 스트로크 상태,pu,SOURCE_CONFIRMED,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
111,vppVlvHPSteamFaultStroke,VALVE_FAULT_STROKE_LEGACY,RAW_INTERNAL_EVIDENCE,HP 증기밸브 고장 스트로크 상태,pu,SOURCE_CONFIRMED,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
112,vppVlvIPFWCVFaultStroke,VALVE_FAULT_STROKE_LEGACY,RAW_INTERNAL_EVIDENCE,IP 급수제어밸브 고장 스트로크 상태,pu,SOURCE_CONFIRMED,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
113,vppVlvIPSteamFaultStroke,VALVE_FAULT_STROKE_LEGACY,RAW_INTERNAL_EVIDENCE,IP 증기밸브 고장 스트로크 상태,pu,SOURCE_CONFIRMED,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
114,vppVlvLPFWFaultStroke,VALVE_FAULT_STROKE_LEGACY,RAW_INTERNAL_EVIDENCE,LP 급수밸브 고장 스트로크 상태,pu,SOURCE_CONFIRMED,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
115,vppVlvLPSteamFaultStroke,VALVE_FAULT_STROKE_LEGACY,RAW_INTERNAL_EVIDENCE,LP 증기밸브 고장 스트로크 상태,pu,SOURCE_CONFIRMED,NOT_PRESENT_IN_CURRENT_LIVE_OPCUA_RUN54
