canonical_tag,owner,layer,direction,opcua_browse_name,data_type,semantic_type,unit,control_point_id,role,model_binding,writable,implementation_status,description_ko
DCS.VLV.COND_EXTRACTION_VLV.AUTO_CMD,OpenModelica,PHYSICAL,READ,vppVlvCondExtractionAutoCmd,Real,Real,pu,COND_EXTRACTION_VLV,AUTOMATIC_COMMAND,regulation_Niveau_Condenseur.SortieReelle1,0,NATIVE_OPCUA_CONNECTED,기존 자동제어기의 명령
DCS.VLV.COND_EXTRACTION_VLV.CMD,OpenModelica,PHYSICAL,READ,vppVlvCondExtractionCmd,Real,Real,pu,COND_EXTRACTION_VLV,SELECTED_COMMAND,vppVlvCondExtractionCmd,0,NATIVE_OPCUA_CONNECTED,AUTO/MAN 선택 후 정상 명령
DCS.VLV.COND_EXTRACTION_VLV.POSITION,OpenModelica,PHYSICAL,READ,vppVlvCondExtractionFb,Real,Real,pu,COND_EXTRACTION_VLV,APPLIED_POSITION,vanne_extraction.Cv/vanne_extraction.Cvmax,0,NATIVE_OPCUA_CONNECTED,물리 모델에 실제 적용된 개도
DCS.VLV.COND_EXTRACTION_VLV.DEVIATION,OpenModelica,PHYSICAL,READ,vppVlvCondExtractionDeviation,Real,Real,pu,COND_EXTRACTION_VLV,COMMAND_FEEDBACK_DEVIATION,vppVlvCondExtractionCmd-vppVlvCondExtractionFb,0,NATIVE_OPCUA_CONNECTED,명령과 적용 개도의 편차
DCS.VLV.COND_EXTRACTION_VLV.FAULT_ACTIVE,OpenModelica,PHYSICAL,READ,vppVlvCondExtractionFaultActive,Boolean,Boolean,BOOL,COND_EXTRACTION_VLV,FAULT_STATUS,vppVlvCondExtractionFaultEnableNative >= 0.5,0,NATIVE_OPCUA_CONNECTED,명령과 분리된 고장상태
TSP.VLV.COND_EXTRACTION_VLV.CV,OpenModelica,PHYSICAL,READ,vppVlvCondExtractionCv,Real,Real,Cv,COND_EXTRACTION_VLV,SOLVED_CV,vanne_extraction.Cv,0,NATIVE_OPCUA_CONNECTED,ThermoSysPro 계산 밸브 Cv
TSP.VLV.COND_EXTRACTION_VLV.MASS_FLOW,OpenModelica,PHYSICAL,READ,vppVlvCondExtractionMassFlowTH,Real,Real,t/h,COND_EXTRACTION_VLV,SOLVED_MASS_FLOW,3.6*(vanne_extraction.Q),0,NATIVE_OPCUA_CONNECTED,밸브 통과 질량유량
TSP.VLV.COND_EXTRACTION_VLV.DP,OpenModelica,PHYSICAL,READ,vppVlvCondExtractionDPPa,Real,Real,Pa,COND_EXTRACTION_VLV,SOLVED_PRESSURE_DROP,vanne_extraction.C1.P-vanne_extraction.C2.P,0,NATIVE_OPCUA_CONNECTED,밸브 전후 차압
CMD.VLV.HP_TURB_ADM_VLV.MODE_AUTO,ECMS,CONTROL,WRITE,vppVlvHPTurbAdmModeAutoNative,Real,Boolean,BOOL,HP_TURB_ADM_VLV,AUTO_MAN_SELECT,vppVlvHPTurbAdmModeAutoNative >= 0.5,1,NATIVE_OPCUA_CONNECTED,AUTO 모드 선택(0/1)
CMD.VLV.HP_TURB_ADM_VLV.MANUAL_POSITION,ECMS,CONTROL,WRITE,vppVlvHPTurbAdmManualCmdNative,Real,Real,pu,HP_TURB_ADM_VLV,MANUAL_COMMAND,vppVlvHPTurbAdmManualCmdNative,1,NATIVE_OPCUA_CONNECTED,수동 밸브 개도명령
CMD.VLV.HP_TURB_ADM_VLV.FAULT_ENABLE,ECMS,CONTROL,WRITE,vppVlvHPTurbAdmFaultEnableNative,Real,Boolean,BOOL,HP_TURB_ADM_VLV,FAULT_ENABLE,vppVlvHPTurbAdmFaultEnableNative >= 0.5,1,NATIVE_OPCUA_CONNECTED,밸브 고장 주입 활성(0/1)
CMD.VLV.HP_TURB_ADM_VLV.FAULT_POSITION,ECMS,CONTROL,WRITE,vppVlvHPTurbAdmFaultValueNative,Real,Real,pu,HP_TURB_ADM_VLV,FAULT_FORCED_VALUE,vppVlvHPTurbAdmFaultValueNative,1,NATIVE_OPCUA_CONNECTED,고장 시 실제 강제 개도
DCS.VLV.HP_TURB_ADM_VLV.AUTO_CMD,OpenModelica,PHYSICAL,READ,vppVlvHPTurbAdmAutoCmd,Real,Real,pu,HP_TURB_ADM_VLV,AUTOMATIC_COMMAND,ConstantVanneTurbineHP.y.signal,0,NATIVE_OPCUA_CONNECTED,기존 자동제어기의 명령
DCS.VLV.HP_TURB_ADM_VLV.CMD,OpenModelica,PHYSICAL,READ,vppVlvHPTurbAdmCmd,Real,Real,pu,HP_TURB_ADM_VLV,SELECTED_COMMAND,vppVlvHPTurbAdmCmd,0,NATIVE_OPCUA_CONNECTED,AUTO/MAN 선택 후 정상 명령
DCS.VLV.HP_TURB_ADM_VLV.POSITION,OpenModelica,PHYSICAL,READ,vppVlvHPTurbAdmFb,Real,Real,pu,HP_TURB_ADM_VLV,APPLIED_POSITION,vanne_entree_TurbineHP.Cv/vanne_entree_TurbineHP.Cvmax,0,NATIVE_OPCUA_CONNECTED,물리 모델에 실제 적용된 개도
DCS.VLV.HP_TURB_ADM_VLV.DEVIATION,OpenModelica,PHYSICAL,READ,vppVlvHPTurbAdmDeviation,Real,Real,pu,HP_TURB_ADM_VLV,COMMAND_FEEDBACK_DEVIATION,vppVlvHPTurbAdmCmd-vppVlvHPTurbAdmFb,0,NATIVE_OPCUA_CONNECTED,명령과 적용 개도의 편차
DCS.VLV.HP_TURB_ADM_VLV.FAULT_ACTIVE,OpenModelica,PHYSICAL,READ,vppVlvHPTurbAdmFaultActive,Boolean,Boolean,BOOL,HP_TURB_ADM_VLV,FAULT_STATUS,vppVlvHPTurbAdmFaultEnableNative >= 0.5,0,NATIVE_OPCUA_CONNECTED,명령과 분리된 고장상태
TSP.VLV.HP_TURB_ADM_VLV.CV,OpenModelica,PHYSICAL,READ,vppVlvHPTurbAdmCv,Real,Real,Cv,HP_TURB_ADM_VLV,SOLVED_CV,vanne_entree_TurbineHP.Cv,0,NATIVE_OPCUA_CONNECTED,ThermoSysPro 계산 밸브 Cv
TSP.VLV.HP_TURB_ADM_VLV.MASS_FLOW,OpenModelica,PHYSICAL,READ,vppVlvHPTurbAdmMassFlowTH,Real,Real,t/h,HP_TURB_ADM_VLV,SOLVED_MASS_FLOW,3.6*(vanne_entree_TurbineHP.Q),0,NATIVE_OPCUA_CONNECTED,밸브 통과 질량유량
TSP.VLV.HP_TURB_ADM_VLV.DP,OpenModelica,PHYSICAL,READ,vppVlvHPTurbAdmDPPa,Real,Real,Pa,HP_TURB_ADM_VLV,SOLVED_PRESSURE_DROP,vanne_entree_TurbineHP.C1.P-vanne_entree_TurbineHP.C2.P,0,NATIVE_OPCUA_CONNECTED,밸브 전후 차압
CMD.VLV.HP_FW_ISO_VLV.MODE_AUTO,ECMS,CONTROL,WRITE,vppVlvHPFWIsoModeAutoNative,Real,Boolean,BOOL,HP_FW_ISO_VLV,AUTO_MAN_SELECT,vppVlvHPFWIsoModeAutoNative >= 0.5,1,NATIVE_OPCUA_CONNECTED,AUTO 모드 선택(0/1)
CMD.VLV.HP_FW_ISO_VLV.MANUAL_POSITION,ECMS,CONTROL,WRITE,vppVlvHPFWIsoManualCmdNative,Real,Real,pu,HP_FW_ISO_VLV,MANUAL_COMMAND,vppVlvHPFWIsoManualCmdNative,1,NATIVE_OPCUA_CONNECTED,수동 밸브 개도명령
CMD.VLV.HP_FW_ISO_VLV.FAULT_ENABLE,ECMS,CONTROL,WRITE,vppVlvHPFWIsoFaultEnableNative,Real,Boolean,BOOL,HP_FW_ISO_VLV,FAULT_ENABLE,vppVlvHPFWIsoFaultEnableNative >= 0.5,1,NATIVE_OPCUA_CONNECTED,밸브 고장 주입 활성(0/1)
CMD.VLV.HP_FW_ISO_VLV.FAULT_POSITION,ECMS,CONTROL,WRITE,vppVlvHPFWIsoFaultValueNative,Real,Real,pu,HP_FW_ISO_VLV,FAULT_FORCED_VALUE,vppVlvHPFWIsoFaultValueNative,1,NATIVE_OPCUA_CONNECTED,고장 시 실제 강제 개도
DCS.VLV.HP_FW_ISO_VLV.AUTO_CMD,OpenModelica,PHYSICAL,READ,vppVlvHPFWIsoAutoCmd,Real,Real,pu,HP_FW_ISO_VLV,AUTOMATIC_COMMAND,arretPomesMp1.y.signal,0,NATIVE_OPCUA_CONNECTED,기존 자동제어기의 명령
DCS.VLV.HP_FW_ISO_VLV.CMD,OpenModelica,PHYSICAL,READ,vppVlvHPFWIsoCmd,Real,Real,pu,HP_FW_ISO_VLV,SELECTED_COMMAND,vppVlvHPFWIsoCmd,0,NATIVE_OPCUA_CONNECTED,AUTO/MAN 선택 후 정상 명령
DCS.VLV.HP_FW_ISO_VLV.POSITION,OpenModelica,PHYSICAL,READ,vppVlvHPFWIsoFb,Real,Real,pu,HP_FW_ISO_VLV,APPLIED_POSITION,Vanne_alimentationMPHP1.Cv/Vanne_alimentationMPHP1.Cvmax,0,NATIVE_OPCUA_CONNECTED,물리 모델에 실제 적용된 개도
DCS.VLV.HP_FW_ISO_VLV.DEVIATION,OpenModelica,PHYSICAL,READ,vppVlvHPFWIsoDeviation,Real,Real,pu,HP_FW_ISO_VLV,COMMAND_FEEDBACK_DEVIATION,vppVlvHPFWIsoCmd-vppVlvHPFWIsoFb,0,NATIVE_OPCUA_CONNECTED,명령과 적용 개도의 편차
DCS.VLV.HP_FW_ISO_VLV.FAULT_ACTIVE,OpenModelica,PHYSICAL,READ,vppVlvHPFWIsoFaultActive,Boolean,Boolean,BOOL,HP_FW_ISO_VLV,FAULT_STATUS,vppVlvHPFWIsoFaultEnableNative >= 0.5,0,NATIVE_OPCUA_CONNECTED,명령과 분리된 고장상태
TSP.VLV.HP_FW_ISO_VLV.CV,OpenModelica,PHYSICAL,READ,vppVlvHPFWIsoCv,Real,Real,Cv,HP_FW_ISO_VLV,SOLVED_CV,Vanne_alimentationMPHP1.Cv,0,NATIVE_OPCUA_CONNECTED,ThermoSysPro 계산 밸브 Cv
TSP.VLV.HP_FW_ISO_VLV.MASS_FLOW,OpenModelica,PHYSICAL,READ,vppVlvHPFWIsoMassFlowTH,Real,Real,t/h,HP_FW_ISO_VLV,SOLVED_MASS_FLOW,3.6*(Vanne_alimentationMPHP1.Q),0,NATIVE_OPCUA_CONNECTED,밸브 통과 질량유량
TSP.VLV.HP_FW_ISO_VLV.DP,OpenModelica,PHYSICAL,READ,vppVlvHPFWIsoDPPa,Real,Real,Pa,HP_FW_ISO_VLV,SOLVED_PRESSURE_DROP,Vanne_alimentationMPHP1.C1.P-Vanne_alimentationMPHP1.C2.P,0,NATIVE_OPCUA_CONNECTED,밸브 전후 차압
CMD.VLV.IP_FW_ISO_VLV.MODE_AUTO,ECMS,CONTROL,WRITE,vppVlvIPFWIsoModeAutoNative,Real,Boolean,BOOL,IP_FW_ISO_VLV,AUTO_MAN_SELECT,vppVlvIPFWIsoModeAutoNative >= 0.5,1,NATIVE_OPCUA_CONNECTED,AUTO 모드 선택(0/1)
CMD.VLV.IP_FW_ISO_VLV.MANUAL_POSITION,ECMS,CONTROL,WRITE,vppVlvIPFWIsoManualCmdNative,Real,Real,pu,IP_FW_ISO_VLV,MANUAL_COMMAND,vppVlvIPFWIsoManualCmdNative,1,NATIVE_OPCUA_CONNECTED,수동 밸브 개도명령
CMD.VLV.IP_FW_ISO_VLV.FAULT_ENABLE,ECMS,CONTROL,WRITE,vppVlvIPFWIsoFaultEnableNative,Real,Boolean,BOOL,IP_FW_ISO_VLV,FAULT_ENABLE,vppVlvIPFWIsoFaultEnableNative >= 0.5,1,NATIVE_OPCUA_CONNECTED,밸브 고장 주입 활성(0/1)
CMD.VLV.IP_FW_ISO_VLV.FAULT_POSITION,ECMS,CONTROL,WRITE,vppVlvIPFWIsoFaultValueNative,Real,Real,pu,IP_FW_ISO_VLV,FAULT_FORCED_VALUE,vppVlvIPFWIsoFaultValueNative,1,NATIVE_OPCUA_CONNECTED,고장 시 실제 강제 개도
DCS.VLV.IP_FW_ISO_VLV.AUTO_CMD,OpenModelica,PHYSICAL,READ,vppVlvIPFWIsoAutoCmd,Real,Real,pu,IP_FW_ISO_VLV,AUTOMATIC_COMMAND,arretPomesHP1.y.signal,0,NATIVE_OPCUA_CONNECTED,기존 자동제어기의 명령
DCS.VLV.IP_FW_ISO_VLV.CMD,OpenModelica,PHYSICAL,READ,vppVlvIPFWIsoCmd,Real,Real,pu,IP_FW_ISO_VLV,SELECTED_COMMAND,vppVlvIPFWIsoCmd,0,NATIVE_OPCUA_CONNECTED,AUTO/MAN 선택 후 정상 명령
DCS.VLV.IP_FW_ISO_VLV.POSITION,OpenModelica,PHYSICAL,READ,vppVlvIPFWIsoFb,Real,Real,pu,IP_FW_ISO_VLV,APPLIED_POSITION,Vanne_alimentationMPHP2.Cv/Vanne_alimentationMPHP2.Cvmax,0,NATIVE_OPCUA_CONNECTED,물리 모델에 실제 적용된 개도
DCS.VLV.IP_FW_ISO_VLV.DEVIATION,OpenModelica,PHYSICAL,READ,vppVlvIPFWIsoDeviation,Real,Real,pu,IP_FW_ISO_VLV,COMMAND_FEEDBACK_DEVIATION,vppVlvIPFWIsoCmd-vppVlvIPFWIsoFb,0,NATIVE_OPCUA_CONNECTED,명령과 적용 개도의 편차
DCS.VLV.IP_FW_ISO_VLV.FAULT_ACTIVE,OpenModelica,PHYSICAL,READ,vppVlvIPFWIsoFaultActive,Boolean,Boolean,BOOL,IP_FW_ISO_VLV,FAULT_STATUS,vppVlvIPFWIsoFaultEnableNative >= 0.5,0,NATIVE_OPCUA_CONNECTED,명령과 분리된 고장상태
TSP.VLV.IP_FW_ISO_VLV.CV,OpenModelica,PHYSICAL,READ,vppVlvIPFWIsoCv,Real,Real,Cv,IP_FW_ISO_VLV,SOLVED_CV,Vanne_alimentationMPHP2.Cv,0,NATIVE_OPCUA_CONNECTED,ThermoSysPro 계산 밸브 Cv
TSP.VLV.IP_FW_ISO_VLV.MASS_FLOW,OpenModelica,PHYSICAL,READ,vppVlvIPFWIsoMassFlowTH,Real,Real,t/h,IP_FW_ISO_VLV,SOLVED_MASS_FLOW,3.6*(Vanne_alimentationMPHP2.Q),0,NATIVE_OPCUA_CONNECTED,밸브 통과 질량유량
TSP.VLV.IP_FW_ISO_VLV.DP,OpenModelica,PHYSICAL,READ,vppVlvIPFWIsoDPPa,Real,Real,Pa,IP_FW_ISO_VLV,SOLVED_PRESSURE_DROP,Vanne_alimentationMPHP2.C1.P-Vanne_alimentationMPHP2.C2.P,0,NATIVE_OPCUA_CONNECTED,밸브 전후 차압
CMD.VLV.IP_TURB_ADM_VLV.MODE_AUTO,ECMS,CONTROL,WRITE,vppVlvIPTurbAdmModeAutoNative,Real,Boolean,BOOL,IP_TURB_ADM_VLV,AUTO_MAN_SELECT,vppVlvIPTurbAdmModeAutoNative >= 0.5,1,NATIVE_OPCUA_CONNECTED,AUTO 모드 선택(0/1)
CMD.VLV.IP_TURB_ADM_VLV.MANUAL_POSITION,ECMS,CONTROL,WRITE,vppVlvIPTurbAdmManualCmdNative,Real,Real,pu,IP_TURB_ADM_VLV,MANUAL_COMMAND,vppVlvIPTurbAdmManualCmdNative,1,NATIVE_OPCUA_CONNECTED,수동 밸브 개도명령
CMD.VLV.IP_TURB_ADM_VLV.FAULT_ENABLE,ECMS,CONTROL,WRITE,vppVlvIPTurbAdmFaultEnableNative,Real,Boolean,BOOL,IP_TURB_ADM_VLV,FAULT_ENABLE,vppVlvIPTurbAdmFaultEnableNative >= 0.5,1,NATIVE_OPCUA_CONNECTED,밸브 고장 주입 활성(0/1)
CMD.VLV.IP_TURB_ADM_VLV.FAULT_POSITION,ECMS,CONTROL,WRITE,vppVlvIPTurbAdmFaultValueNative,Real,Real,pu,IP_TURB_ADM_VLV,FAULT_FORCED_VALUE,vppVlvIPTurbAdmFaultValueNative,1,NATIVE_OPCUA_CONNECTED,고장 시 실제 강제 개도
DCS.VLV.IP_TURB_ADM_VLV.AUTO_CMD,OpenModelica,PHYSICAL,READ,vppVlvIPTurbAdmAutoCmd,Real,Real,pu,IP_TURB_ADM_VLV,AUTOMATIC_COMMAND,ConstantVanneTurbineMP.y.signal,0,NATIVE_OPCUA_CONNECTED,기존 자동제어기의 명령
DCS.VLV.IP_TURB_ADM_VLV.CMD,OpenModelica,PHYSICAL,READ,vppVlvIPTurbAdmCmd,Real,Real,pu,IP_TURB_ADM_VLV,SELECTED_COMMAND,vppVlvIPTurbAdmCmd,0,NATIVE_OPCUA_CONNECTED,AUTO/MAN 선택 후 정상 명령
DCS.VLV.IP_TURB_ADM_VLV.POSITION,OpenModelica,PHYSICAL,READ,vppVlvIPTurbAdmFb,Real,Real,pu,IP_TURB_ADM_VLV,APPLIED_POSITION,vanne_entree_TurbineMP.Cv/vanne_entree_TurbineMP.Cvmax,0,NATIVE_OPCUA_CONNECTED,물리 모델에 실제 적용된 개도
DCS.VLV.IP_TURB_ADM_VLV.DEVIATION,OpenModelica,PHYSICAL,READ,vppVlvIPTurbAdmDeviation,Real,Real,pu,IP_TURB_ADM_VLV,COMMAND_FEEDBACK_DEVIATION,vppVlvIPTurbAdmCmd-vppVlvIPTurbAdmFb,0,NATIVE_OPCUA_CONNECTED,명령과 적용 개도의 편차
DCS.VLV.IP_TURB_ADM_VLV.FAULT_ACTIVE,OpenModelica,PHYSICAL,READ,vppVlvIPTurbAdmFaultActive,Boolean,Boolean,BOOL,IP_TURB_ADM_VLV,FAULT_STATUS,vppVlvIPTurbAdmFaultEnableNative >= 0.5,0,NATIVE_OPCUA_CONNECTED,명령과 분리된 고장상태
TSP.VLV.IP_TURB_ADM_VLV.CV,OpenModelica,PHYSICAL,READ,vppVlvIPTurbAdmCv,Real,Real,Cv,IP_TURB_ADM_VLV,SOLVED_CV,vanne_entree_TurbineMP.Cv,0,NATIVE_OPCUA_CONNECTED,ThermoSysPro 계산 밸브 Cv
TSP.VLV.IP_TURB_ADM_VLV.MASS_FLOW,OpenModelica,PHYSICAL,READ,vppVlvIPTurbAdmMassFlowTH,Real,Real,t/h,IP_TURB_ADM_VLV,SOLVED_MASS_FLOW,3.6*(vanne_entree_TurbineMP.Q),0,NATIVE_OPCUA_CONNECTED,밸브 통과 질량유량
TSP.VLV.IP_TURB_ADM_VLV.DP,OpenModelica,PHYSICAL,READ,vppVlvIPTurbAdmDPPa,Real,Real,Pa,IP_TURB_ADM_VLV,SOLVED_PRESSURE_DROP,vanne_entree_TurbineMP.C1.P-vanne_entree_TurbineMP.C2.P,0,NATIVE_OPCUA_CONNECTED,밸브 전후 차압
